Name,Definition
Mass Action Binding,[S1]*[S2]*{k1}
Constant,{k1}
Mass Action Deg,[S1]*{k1}
Modifier Inhibition,{vmax}*1-([Mod1]/({km}+[Mod1]))
Activation by Kinase,[S1]*[Mod1]*{k1}
Hill Xorder Activation,({k1}*[S1]*([Mod1]^{k2}))/(([Mod2]^{k2})+({k3}^{k2}))
Spontaneous,[S1]*{k1}
Delayed Mass Action,[S1]*{k1}*[Mod1]
Nothing,0
Degradation half life,[S1]*{k1}
Activation_bymod1_inhibitionbymod2,([Mod1]*[S1]*{k1})/(([S1]+{k2})*[Mod2])
Activation_bymod1,([Mod1]*[S1]*{k1})/([S1]+{k2})
Linear Activation_bymod1,[S1]*{k1}*[Mod1]
Activation by function k2_TLRFunc(t),({k2}*[S1]*{k1})/([S1]+{k3})
Hill Equation,([S1] * {k1}) / ([S1] + {k2})
DualAssociation,{k1} * ( [S1]+[S2] ) * [S3]
AddFour,([Mod1]+[Mod2]+[Mod3]+[Mod4])
Hill Equation with Modifier ,( {k1}*[Mod1]*[S1] ) / ( {k2} + [S1] )
A20 Alternate Expression,([Mod1] + [Mod2] + [Mod3] + [Mod4]) *{k1}
DualModAssociation,{k1} * ( [Mod1] + [Mod2] ) * [S1]
GenerationDegradation,{k1} - {k2} * [Mod1]
Mass Action mod LPS,[S1]*{k1}*{k2}
LPS slow deg,[S1]*{k1}*[Mod1]/{k2}
LPS slow exp,{k1}*{k2}*[Mod1]